id,authors,year_of_publication,title,abbreviation,journal_name,journal_volume,journal_issue,pages,created_at,updated_at      
841,"Alper N., Bahceci K.S., Acar J.",2005,Influence of processing and pasteurization on color values and total phenolic compounds of pomegranate juice,ALPER 2005,Journal of Food Processing and Preservation,29,05-Jun,357-368,2015-04-13 21:45:28 UTC,2015-04-13 21:45:28 UTC      
82,"Amakura Y, Umino Y, Tsuji S, Tonogai Y",2000,Influence of jam processing on the radical scavenging activity and phenolic content in berries,AMAKURA 2000,Journal of Agricultural and Food Chemistry,48,12,6292-6297,2003-12-05 10:41:49 UTC,2015-04-14 04:25:42 UTC      
563,"Amarowicz R., Troszynska A., Baryl Kopikielna N., Shahidi F.",2004,"Polyphenolics extracts from legume seeds: correlations between total antioxidant activity, total phenolics content, tannins content and astringency",AMAROWICZ 2004,Journal of Food Lipids,11,4,278-286,2015-04-13 21:45:26 UTC,2015-04-13 21:45:26 UTC      
963,"Ameer B., Weintraub R.A., Johnson J.V., Yost R.A., Rouseff R.L.",1996,"Flavanone absorption after naringin, hesperidin, and citrus administration",AMEER 1996,Clin Pharmacol Ther,60,1,34-40,2015-04-13 21:45:29 UTC,2015-04-14 04:25:43 UTC      
429,"Amin I., Lee W.Y.",2005,Effect of different blanching times on antioxidant properties in selected cruciferous vegetables,AMIN 2005,Journal of the Science of Food and Agriculture,85,13,2314-2320,2006-11-07 09:49:59 UTC,2015-04-13 21:45:25 UTC      
2,"Amiot, M.J. Tacchini, M. Aubert, S. Nicolas, J.",1992,Phenolic composition and browning susceptibility of various apple cultivars at maturity,AMIOT 1992,Journal of Food Science,57,4,958-962,2002-07-08 00:00:00 UTC,2015-04-13 21:45:22 UTC   
167,"Amiot M.J., Aubert S., Nicolas J.",1993,Phenolic composition and browning susceptibility of various apple and pear cultivars at maturity,AMIOT 1993,Acta Horticulturae,343,,67-69,2015-04-13 21:45:23 UTC,2015-04-13 21:45:23 UTC      
3,"Amiot, M.J. Tacchini,  M. Aubert,  S.Y. Oleszek, W.",1995,"Influence of cultivar, maturity stage, and storage conditions on phenolic composition and enzymatic browning of pear fruits",AMIOT 1995,Journal of Agricultural and Food Chemistry,43,5,1132-1137,2002-07-08 00:00:00 UTC,2015-04-13 21:45:22 UTC   
198,"Ancos B.d., Gonzalez E.M., Pilar-Cano M.",2000,"Ellagic acid, vitamin C, and total phenolic contents and radical scavenging capacity affected by freezing and frozen storage in raspberry fruit",ANCOS 2000_01,Journal of Agricultural and Food Chemistry,48,10,4565-4570,2015-04-13 21:45:24 UTC,2015-04-14 04:25:45 UTC      
221,"Ancos B.d., Ibanez E., Reglero G., Cano M.P.",2000,Frozen storage effects on anthocyanins and volatile compounds of raspberry fruit,ANCOS 2000_02,Journal of Agricultural and Food Chemistry,48,3,873-879,2015-04-13 21:45:24 UTC,2015-04-14 04:25:45 UTC      
509,"Andersen M.L., Outtrup H., Skibsted L.H.",2000,Potential antioxidants in beer assessed by ESR spin trapping,ANDERSEN 2000,Journal of Agricultural and Food Chemistry,48,,3106-3111,2007-06-02 11:03:35 UTC,2015-04-14 04:25:45 UTC      
478,"Andlauer W., Stumpf C., Hubert M., Rings A., Fuerst P.",2003,Influence of cooking process on phenolic marker compounds of vegetables,ANDLAUER 2003,International Journal for Vitamin and Nutrition Research,73,2,152-159,2015-04-13 21:45:26 UTC,2015-04-14 04:25:46 UTC      
246,"Andrade P.B., Mendes G., Falco V., Valentao P., Seabra R.M.",2001,Preliminary study of flavonols in port wine grape varieties,ANDRADE 2001,Food Chemistry,73,4,397-399,2005-05-08 11:39:23 UTC,2015-04-13 21:45:24 UTC      
439,"Andreasen M.F., Christensen L.P., Meyer A.S., Hansen A.",2000,Ferulic acid dehydrodimers in Rye,ANDREASEN 2000_01,Journal of Cereal Science,31,,303-307,2015-04-13 21:45:25 UTC,2015-04-14 04:25:46 UTC      
447,"Andreasen M.F., Christensen L.P., Meyer A.S., Hansen A.",2000,Content of phenolic acids and ferulic acid dehydrodimers in 17 rye (Secale cerealeL.) varieties,ANDREASEN 2000_02,Journal of Agricultural and Food Chemistry,48,,2837-2842,2006-07-08 16:12:51 UTC,2015-04-14 04:25:48 UTC      
1219,"Andres-Lacueva C., Monagas M., Khan N., Izquierdo-Pulido M., Urpi-Sarda M., Permanyer J., Lamuela-Raventos R.M.",2008,Flavanol and flavonol contents of cocoa powder products: Influence of the manufacturing process,ANDRES-LACUEVA 2008,Journal of Agricultural and Food Chemistry,56,9,3111-3117,2012-12-01 22:21:08 UTC,2015-04-14 04:25:48 UTC      
755,"Anilakumar K.R., Saritha V., Khanum F., Bawa A.S.",2007,"Effect of cooking on total phenols, flavonoids and antioxidant activity in spices of Indian culinary",ANILAKUMAR 2007,Journal of Food Science and Technology,44,4,357-359,2015-04-13 21:45:27 UTC,2015-04-13 21:45:27 UTC      
334,"Anttonen M.J., Karjalainen R.O.",2005,Environmental and genetic variation of phenolic compounds in red raspberry,ANTTONEN 2005,Journal of Food Composition and Analysis,18,8,759-769,2015-04-13 21:45:25 UTC,2015-04-13 21:45:25 UTC      
851,"Aparicio R., Roda L., Albi M., Gutierrez F.",1999,Effect of Various Compounds on Virgin Olive Oil Stability Measured by Rancimat,APARICIO 1999,Journal of Agricultural and Food Chemistry,47,10,4150-4155,2015-04-13 21:45:28 UTC,2015-04-14 04:25:50 UTC      
584,"Aparicio-Fernandez X., Manzo-Bonilla L., Loarca-Pina G.F.",2005,Comparison of antimutagenic activity of phenolic compounds in newly harvested and stored common beans Phaseolus vulgaris against aflatoxin B1,APARICIO-FERNANDEZ 2005,Journal of Food Science,70,1,S73-S78,2007-12-04 11:45:05 UTC,2015-04-13 21:45:26 UTC      
163,"Arabbi P.R., Genovese M.I., Lajolo F.M.",2004,Flavonoids in vegetable foods commonly consumed in Brazil and estimated ingestion by the Brazilian population,ARABBI 2004,Journal of Agricultural and Food Chemistry,52,5,1124-1131,2015-04-13 21:45:23 UTC,2015-04-14 04:25:51 UTC      
691,"Areias F.M., Valentao P., Andrade P.B., Ferreres F., Seabra R.M.",2001,Phenolic fingerprint of peppermint leaves,AREIAS 2001,Food Chemistry,73,3,307-311,2015-04-13 21:45:27 UTC,2015-04-13 21:45:27 UTC      
143,"Arena E., Fallico B., Maccarone E.",2001,"Evaluation of the antioxidant capacity of blood orange juices as influenced by constituents, concentration process and storage",ARENA 2001,Food Chemistry,74,4,423-427,2015-04-13 21:45:23 UTC,2015-04-13 21:45:23 UTC      
310,"Arnous A., Makris D.P., Kefalas P.",2002,Correlation of pigment and flavanol content with antioxidant properties in selected aged regional wines from Greece,ARNOUS 2002,Journal of Food Composition and Analysis,15,6,655-665,2005-06-10 09:36:30 UTC,2015-04-13 21:45:24 UTC      
774,"Artajo L.-S., omero M.-P., Tovar M.-J., Motilva M.-J.",2006,Effect of irrigation applied to olive trees (Olea europaea L.) on phenolic compound transfer during olive oil extraction,ARTAJO 2006_01,European Journal of Lipid Science and Technology,108,,19-27,2015-04-13 21:45:27 UTC,2015-04-13 21:45:27 UTC      
778,"Artajo L.S., Romero M.P., Motilva M.J.",2006,Transfer of phenolic compounds during olive oil extraction in relation to ripening stage of the fruit,ARTAJO 2006_02,Journal of the Science of Food and Agriculture,86,,518-527,2015-04-13 21:45:27 UTC,2015-04-13 21:45:27 UTC      
86,"Arts I.C.W., Hollman P.C.H., Kromhout D.",1999,Chocolate as a source of tea flavonoids,ARTS 1999,The Lancet,354,9177,488-488,2003-12-05 10:41:49 UTC,2015-04-14 04:25:55 UTC      
20,"Arts, I.C.W.   van de Putte, B. Hollman, P.C.H.",2000,"Catechin Contents of Foods Commonly Consumed in The Netherlands. 1. Fruits, Vegetables, Staple Foods, and Processed Foods",ARTS 2000_01,Journal of Agricultural and Food Chemistry,48,,1746-1751,2015-04-13 21:45:22 UTC,2015-04-14 04:25:56 UTC    
21,"Arts, I.C.W.   van de Putte, B. Hollman, P.C.H.",2000,"Catechin Contents of Foods Commonly Consumed in The Netherlands. 2. Tea, Wine, Fruit juices and chocolate milk",ARTS 2000_02,Journal of Agricultural and Food Chemistry,48,,1752-1757,2015-04-13 21:45:22 UTC,2015-04-14 04:25:57 UTC    
189,"Asami D.K., Hong Y.-J., Barrett D.M., Mitchell A.E.",2003,Processing-induced changes in total phenolics and procyanidins in clingstone peaches,ASAMI 2003_01,Journal of the Science of Food and Agriculture,83,,56-63,2015-04-13 21:45:24 UTC,2015-04-13 21:45:24 UTC      
829,"Asami D.K., Hong Y.-J., Barrett D.M., Mitchell A.E.",2003,"Comparison of the total phenolic and ascorbic acid content of freeze-dried and air-dried marionberry, strawberry, and corn grown using conventional, organic, and sustainable agricultural practices",ASAMI 2003_02,Journal of Agricultural and Food Chemistry,51,,1237-1241,2015-04-13 21:45:28 UTC,2015-04-14 04:25:58 UTC      
937,"Asensi M., Medina I., Ortega A., Carretero J., Bano M.C., Obrador E., Estrela J.M.",2002,Inhibition of cancer growth by resveratrol is related to its low bioavailability,ASENSI 2002,Free Radic Biol Med,33,3,387-98,2015-04-13 21:45:29 UTC,2015-04-14 04:25:58 UTC      
352,"Asenstorfer R.E., Wang Y., Mares D.J.",2006,Chemical structure of flavonoid compounds in wheat (Triticum aestivum L.) flour that contribute to the yellow colour of Asian alkaline noodles,ASENSTORFER 2006,Journal of Cereal Science,43,,108-119,2015-04-13 21:45:25 UTC,2015-04-13 21:45:25 UTC      
40,"Astill, C.  Birch, M.R.  Dacombe, C.  Humphrey, P.G.  Martin, P.T.",2001,Factors affecting the caffeine and polyphenol contents of black and green tea infusions,ASTILL 2001,Journal of Agricultural and Food Chemistry,49,,5340-5347,2003-09-04 10:02:33 UTC,2015-04-14 04:25:59 UTC  
324,"Aturki Z., Brandi V., Sinibaldi M.",2004,Separation of flavanone-7-O-glycoside diastereomers and analysis in citrus juices by multidimensional liquid chromatography coupled with mass spectrometry,ATURKI 2004,Journal of Agricultural and Food Chemistry,52,17,5303-5308,2005-12-10 16:04:32 UTC,2015-04-14 04:26:00 UTC      
836,"Awika J.M., Dykes L., Gu L., Rooney L.W., Prior R.L.",2003,Processing of sorghum (Sorghum bicolor) and sorghum products alters procyanidin oligomer and polymer distribution and content,AWIKA 2003,Journal of Agricultural and Food Chemistry,51,,5516-5521,2008-03-03 09:55:00 UTC,2015-04-14 04:26:00 UTC      
1040,"Baba S., Osakabe N., Natsume M., Yasuda A., Takizawa T., Nakamura T., Terao J.",2000,Cocoa powder enhances the level of antioxidative activity in rat plasma,BABA 2000,Br J Nutr,84,5,673-80,2015-04-13 21:45:29 UTC,2015-04-14 04:26:00 UTC      
1037,"Baba S., Osakabe N., Natsume M., Muto Y., Takizawa T., Terao J.",2001,Absorption and urinary excretion of (-)-epicatechin after administration of different levels of cocoa powder or (-)-epicatechin in rats,BABA 2001_01,J Agric Food Chem,49,12,6050-6,2015-04-13 21:45:29 UTC,2015-04-14 04:26:01 UTC      
1038,"Baba S., Osakabe N., Natsume M., Muto Y., Takizawa T., Terao J.",2001,"In vivo comparison of the bioavailability of (+)-catechin, (-)-epicatechin and their mixture in orally administered rats",BABA 2001_02,J Nutr,131,11,2885-91,2015-04-13 21:45:29 UTC,2015-04-14 04:26:02 UTC      
1039,"Baba S., Osakabe N., Natsume M., Terao J.",2002,Absorption and urinary excretion of procyanidin B2 [epicatechin-(4beta-8)-epicatechin] in rats,BABA 2002,Free Radic Biol Med,33,1,142-8,2015-04-13 21:45:29 UTC,2015-04-13 21:45:29 UTC      
1023,"Baba S., Osakabe N., Natsume M., Terao J.",2004,"Orally administered rosmarinic acid is present as the conjugated and/or methylated forms in plasma, and is degraded and metabolized to conjugated forms of caffeic acid, ferulic acid and m-coumaric aci",BABA 2004,Life Sci,75,2,165-78,2015-04-13 21:45:29 UTC,2015-04-14 04:26:03 UTC      
1024,"Baba S., Osakabe N., Natsume M., Yasuda A., Muto Y., Hiyoshi K., Takano H., Yoshikawa T., Terao J.",2005,"Absorption, metabolism, degradation and urinary excretion of rosmarinic acid after intake of Perilla frutescens extract in humans",BABA 2005,Eur J Nutr,44,1,01-Sep,2015-04-13 21:45:29 UTC,2015-04-14 04:26:03 UTC      
1111,"Baba S., Osakabe N., Kato Y., Natsume M., Yasuda A., Kido T., Fukuda K., Muto Y., Kondo K.",2007,Continuous intake of polyphenolic compounds containing cocoa powder reduces LDL oxidative susceptibility and has beneficial effects on plasma HDL-cholesterol concentrations in humans,BABA 2007,Am J Clin Nutr,85,3,709-17,2011-04-05 12:13:37 UTC,2015-04-14 04:26:04 UTC      
764,"Baccouri B., Ben Temime S., Taamalli W., Daoud D., M'Sallem M., Zarrouk M.",2007,Analytical characteristics of virgin olive oils from two new varieties obtained by controlled crossing on Meski variety,BACCOURI 2007,Journal of Food Lipids,14,,19-34,2015-04-13 21:45:27 UTC,2015-04-13 21:45:27 UTC      
399,"Bahorun T., Luximon-Ramma A., Crozier A., Aruoma O.I.",2004,"Total phenol, flavonoid, proanthocyanidin and vitamin C levels and antioxidant activities of Mauritian vegetables",BAHORUN 2004,Journal of the Science of Food and Agriculture,84,12,1553-1561,2015-04-13 21:45:25 UTC,2015-04-13 21:45:25 UTC      
1158,"Bai X., Xie Y., Liu J., Qu J., Kano Y., Yuan D.",2010,Isolation and identification of urinary metabolites of kakkalide in rats,BAI 2010,Drug Metab Dispos,38,2,281-6,2011-07-06 10:21:50 UTC,2015-04-14 04:26:05 UTC      
1220,"Baiano A., Gambacorta G., Terracone C., Previtali M.A., Lamacchia C., La Notte E.",2009,Changes in Phenolic Content and Antioxidant Activity of Italian Extra-Virgin Olive Oils during Storage,BAIANO 2009,Journal of Food Science,74,2,C177-C183,2012-12-01 22:21:08 UTC,2015-04-14 04:26:06 UTC      
58,"Bajaj K.L., Kaur G., Singh J., Gill S.P.S.",1980,Chemical evaluation of some important varieties of onion (Allium cepa L.),BAJAJ 1980,Plant Foods for Human Nutrition,30,,117-122,2003-12-05 10:41:49 UTC,2015-04-13 21:45:23 UTC      
878,"Bajer T., Adam M., Galla L., Ventura K.",2007,Comparison of various extraction techniques for isolation and determination of isoflavonoids in plants,BAJER 2007,Journal of Separation Science,30,1,122-27,2009-08-06 09:25:05 UTC,2015-04-14 04:26:07 UTC      
467,"Bajpai M., Alka M., Dhan P.",2005,Antioxidant and free radical scavenging activities of some leafy vegetables,BAJPAI 2005,International Journal of Food Sciences and Nutrition,56,7,473-481,2015-04-13 21:45:25 UTC,2015-04-14 04:26:07 UTC      
834,"Bakan B., Bily A.C., Melcion D., Cahagnier B., Regnault-Roger C., Philogène B.J.R., Richard-Molard D.",2003,Possible role of plant phenolics in the production of trichothecenes by Fusarium graminearum strains on different fractions of maize kernels,BAKAN 2003,Journal of Agricultural and Food Chemistry,51,,2826-2831,2015-04-13 21:45:28 UTC,2015-04-14 04:26:08 UTC      
228,"Bakker J., Bridle P., Bellworthy S.J.",1994,Strawberry juice colour: a study of the quantitative and qualitative pigment composition of juices from 39 genotypes,BAKKER 1994,Journal of the Science of Food and Agriculture,64,1,31-37,2015-04-13 21:45:24 UTC,2015-04-13 21:45:24 UTC      
1286,"Bakowska-Barczak A.M., Kolodziejczyk P.P.",2011,Black currant polyphenols: Their storage stability and microencapsulation,BAKOWSKA-BARCZAK 2011,Industrial Crops and Products,34,2,1301-1309,2015-04-13 21:45:31 UTC,2015-04-13 21:45:31 UTC      
854,"Baldioli M., Servili M., Perretti G., Montedoro G. F.",1996,Antioxidant activity of tocopherols and phenolic compounds of virgin olive oil,BALDIOLI 1996,Journal of the American Oil Chemists' Society,73,11,1589-1593,2015-04-13 21:45:28 UTC,2015-04-14 04:26:10 UTC      
1289,"Baltacioglu C., Velioglu S., Karacabey E.",2011,Changes in total phenolic and flavonoid contents of rowanberry fruit during postharvest storage,BALTACIOGLU 2011,Journal of Food Quality,34,4,278-283,2015-04-13 21:45:31 UTC,2015-04-13 21:45:31 UTC      
721,"Bamdad F., Kadivar M., Keramat J.",2006,Evaluation of phenolic content and antioxidant activity of Iranian caraway in comparison with clove and BHT using model systems and vegetable oil,BAMDAD 2006,International Journal of Food Science and Technology,41,Suppl. 1,20-27,2007-07-11 14:52:39 UTC,2015-04-13 21:45:27 UTC      
788,"Bandoniene D., Pukalskas A., Venskutonis P.R., Gruzdiene D.",2000,Preliminary screening of antioxidant activity of some plant extracts in rapeseed oil,BANDONIENE 2000,Food Research International,33,9,785-791,2007-10-12 10:03:18 UTC,2015-04-14 04:26:11 UTC      
1203,Xu B.,2009,"Total Phenolic, Phenolic Acid, Anthocyanin, Flavan-3-ol, and flavonol profile and antioxidant properties of pinto and black",BAOJUN 2009,Journal of Agricultural and Food Chemistry,57,,4754?4764,2015-04-13 21:45:30 UTC,2015-04-13 21:45:30 UTC      
311,"Baptista J.A.B., Tavares J.F.d.-P., Carvalho R.C.B.",2001,Comparison of polyphenols and aroma in red wines from Portuguese mainland versus Azores Islands,BAPTISTA 2001,Food Research International,34,4,345-355,2005-06-10 09:36:31 UTC,2015-04-13 21:45:24 UTC      
341,"Baranowski R., Kabut J., Baranowska I.",2004,"Analysis of mixture of catechins, flavones, flavanones, flavonols, and anthocyanidins by RP-HPLC",BARANOWSKI 2004,Analytical Letters,37,1,157-165,2015-04-13 21:45:25 UTC,2015-04-13 21:45:25 UTC      
1186,"Barba A.A., Calabretti A., d'Amore M., Piccinelli A.L., Rastrelli L.",2008,Phenolic constituents levels in cv. Agria potato under microwave processing,BARBA 2008,LWT-Food Science and Technology,41,10,1919-1926,2015-04-13 21:45:30 UTC,2015-04-13 21:45:30 UTC      
1293,"Barba F.J., Esteve M.J., Frigola A.",2011,Physicochemical and nutritional characteristics of blueberry juice after high pressure processing,BARBA 2011,Food Research International,IN PRESS,,,2015-04-13 21:45:31 UTC,2015-04-13 21:45:31 UTC      
1295,"Barba F.J., Jäger H., Meneses N., Esteve M.J., Frígola A., Knorr D.",2012,Evaluation of quality changes of blueberry juice during refrigerated storage after high-pressure and pulsed electric fields processing,BARBA 2012,Innovative Food Science and Emerging Technologies,IN PRESS,,,2015-04-13 21:45:31 UTC,2015-04-13 21:45:31 UTC      
1141,"Barnes S., Prasain J.K., Wang C.C., Moore D.R., 2nd",2006,"Applications of LC-MS in the study of the uptake, distribution, metabolism and excretion of bioactive polyphenols from dietary supplements",BARNES 2006,Life Sci,78,18,2054-9,2011-04-06 23:30:39 UTC,2015-04-13 21:45:30 UTC      
303,"Baron R., Mayen M., Merida J., Medina M.",1997,Changes in phenolic compounds and browning during biological aging of sherry-type wine,BARON 1997,Journal of Agricultural and Food Chemistry,45,5,1682-1685,2005-04-10 14:23:52 UTC,2015-04-13 21:45:24 UTC      
4,"Barthe, G.A. Jourdan, P.S. McIntosh, C.A. Mansell, R.L.",1988,Radioimmunoassay for the quantitative determination of hesperidin and analysis of its distribution in citrus sinensis,BARTHE 1988,Phytotherapy Research,27,1,249-254,2002-07-08 00:00:00 UTC,2015-04-13 21:45:22 UTC   
586,"Bartolome B., Estrella I., Hernandez T.",1997,Changes in phenolic compounds in lentils (Lens culinaris) during germination and fermentation,BARTOLOME 1997,Zeitschrift fuer Lebensmittel Untersuchung und Forschung A/Food Research and Technology,205,4,290-294,2015-04-13 21:45:26 UTC,2015-04-13 21:45:26 UTC      
508,"Bartolomé B., Pena-Neira A., Gomez-Cordoves C.",2000,Phenolics and related substances in alcohol-free beers,BARTOLOME 2000,European Food Research and Technology,210,,419-423,2007-06-02 10:05:51 UTC,2015-04-13 21:45:26 UTC      
