id,authors,year_of_publication,title,abbreviation,journal_name,journal_volume,journal_issue,pages,created_at,updated_at      ,abstract
802,"Aguilar-Garcia C., Gavino G., Baragano-Mosqueda M., Hevia P., Gavino V.C.",2007,"Correlation of tocopherol, tocotrienol, gamma-oryzanol and total polyphenol content in rice bran with different antioxidant capacity assays",AGUILAR-GARCIA 2007,Food Chemistry,102,,1228-1232,2015-04-13 21:45:28 UTC,2015-04-13 21:45:28 UTC      ,
1184,"Aguilera Y., Duenas M., Estrella I., Hernandez T., Benitez V., Esteban R.M., Martin-Cabrejas M.A.",2010,Evaluation of Phenolic Profile and Antioxidant Properties of Pardina Lentil As Affected by Industrial Dehydration,AGUILERA 2010,Journal of Agricultural and Food Chemistry,58,18,10101-1010,2015-04-13 21:45:30 UTC,2015-04-14 04:25:34 UTC      ,"1. J Agric Food Chem. 2010 Sep 22;58(18):10101-8. doi: 10.1021/jf102222t.

Evaluation of phenolic profile and antioxidant properties of Pardina lentil as 
affected by industrial dehydration.

Aguilera Y(1), Dueñas M, Estrella I, Hernández T, Benitez V, Esteban RM, 
Martín-Cabrejas MA.

Author information:
(1)Instituto de Ciencias de la Alimentación (CIAL), Departamento de Química 
Agrícola, Facultad de Ciencias, C/Nicolás Cabrera 9, Campus Universidad Autónoma 
de Madrid (UAM), 28049-Madrid, Spain.

This study presents the effects of soaking, cooking, and industrial dehydration 
treatments on phenolic profile and also on antioxidant properties in Pardina 
lentil. HPLC-PAC and HPLC-MS (ESI) analysis identified a total of 35 phenolic 
compounds in raw and processed lentil flours, corresponding to catechins and 
procyanidins (69% of the total of identified phenolic compounds), flavonols 
(17%), flavones, and flavanones (5%), and hydroxybenzoic and hydroxycinnamic 
compounds (5 and 4%, respectively). During the industrial process, catechins and 
procyanidins, flavonols, flavones, and flavanones decreased, while 
hydroxybenzoic compounds exhibited an important increase. In addition, raw 
lentils showed high values of the antioxidant activity (66.97 μmol Trolox/g); 
although the thermal processing promotes decreased, the levels of antioxidant 
activity were still relevant. Thus, the significant occurrence of bioactive 
phenolic compounds along with the interesting antioxidant capacity of dehydrated 
lentil flours make them useful for daily inclusion in the human diet as 
ready-to-use for special meals to specific populations.

DOI: 10.1021/jf102222t
PMID: 20735138 [Indexed for MEDLINE]"
853,"Akasbi M., Shoeman D.W., Csallany A.S.",1993,High-Performance Liquid-Chromatography of Selected Phenolic-Compounds in Olive Oils,AKASBI 1993,Journal of the American Oil Chemists' Society,70,4,367-370,2015-04-13 21:45:28 UTC,2015-04-14 04:25:35 UTC      ,
876,"Akitha Devi M.K., Mahendranath G., Sakthivelu G., Giridhar P., Rajasekaran T., Ravishankar G.A.",2009,"Functional attributes of soybean seeds and products, with reference to isoflavone content and antioxidant activity",AKITHA DEVI 2009,Food Chemistry,114,3,771-76,2009-04-06 16:15:43 UTC,2015-04-13 21:45:28 UTC      ,
839,"Al-Farsi M., Alasalvar C., Morris A., Baron M., Shahidi F.",2005,"Comparison of antioxidant activity, anthocyanins, carotenoids, and phenolics of three native fresh and sun-dried date (Phoenix dactylifera L.) varieties grown in Oman",AL-FARSI 2005,Journal of Agricultural and Food Chemistry,53,19,7592-7599,2015-04-13 21:45:28 UTC,2015-04-14 04:25:36 UTC      ,"1. J Agric Food Chem. 2005 Sep 21;53(19):7592-9. doi: 10.1021/jf050579q.

Comparison of antioxidant activity, anthocyanins, carotenoids, and phenolics of 
three native fresh and sun-dried date (Phoenix dactylifera L.) varieties grown 
in Oman.

Al-Farsi M(1), Alasalvar C, Morris A, Baron M, Shahidi F.

Author information:
(1)Plant Research Center, Ministry of Agriculture and Fisheries, Al-Khoud, 
Muscat, Oman.

Fresh and sun-dried dates of three native varieties from Oman, namely, Fard, 
Khasab, and Khalas, were examined for their antioxidant activity and total 
contents of anthocyanins, carotenoids, and phenolics, as well as free and bound 
phenolic acids. All results are expressed as mean value +/- standard deviation 
(n = 3) on a fresh weight basis. Fresh date varieties were found to be a good 
source of antioxidants (11687-20604 micromol of Trolox equiv/g), total contents 
of anthocyanins (0.24-1.52 mg of cyanidin 3-glucoside equiv/100 g), carotenoids 
(1.31-3.03 mg/100 g), phenolics (134-280 mg of ferulic acid equiv/100 g), free 
phenolic acids (2.61-12.27 mg/100 g), and bound phenolic acids (6.84-30.25 
mg/100 g). A significant (p < 0.05) amount of antioxidants and carotenoids was 
lost after sun-drying of dates, whereas the total content of phenolics and free 
and bound phenolic acids increased significantly (p < 0.05). Anthocyanins were 
detected only in fresh dates. Date varieties had different levels and patterns 
of phenolic acids. Four free phenolic acids (protocatechuic acid, vanillic acid, 
syringic acid, and ferulic acid) and nine bound phenolic acids (gallic acid, 
protocatechuic acid, p-hydroxybenzoic acid, vanillic acid, caffeic acid, 
syringic acid, p-coumaric acid, ferulic acid, and o-coumaric acid) were 
tentatively identified. Of the date varieties studied, Khalas, which is 
considered to be premium quality, had higher antioxidant activity, total 
carotenoids, and bound phenolic acids than other varieties. These results 
suggest that all date varieties serve as a good source of natural antioxidants 
and could potentially be considered as a functional food or functional food 
ingredient, although some of their antioxidant constituents are lost during 
sun-drying.

DOI: 10.1021/jf050579q
PMID: 16159191 [Indexed for MEDLINE]"
840,"Al-Farsi M., Alasalvar C., Al-Abid M., Al-Shoaily K., Al-Amry M., Al-Rawahy F.",2007,"Compositional and functional characteristics of dates, syrups, and their by-products",AL-FARSI 2007,Food Chemistry,104,3,943-947,2015-04-13 21:45:28 UTC,2015-04-13 21:45:28 UTC      ,
1206,"Alajaji S.A., El-Adawy T..A.",2006,Nutritional composition of chickpea (Cicer arietinum L.) as affected by  microwave cooking and other traditional cooking methods,ALAJAJI 2006,Journal of Food Composition and Analysis,19,8,806-812,2015-04-13 21:45:30 UTC,2015-04-13 21:45:30 UTC      ,
641,"Alamprese C., Pompei C., Scaramuzzi F.",2005,Characterization and antioxidant activity of nocino liqueur,ALAMPRESE 2005,Food Chemistry,90,4,495-502,2015-04-13 21:45:27 UTC,2015-04-13 21:45:27 UTC      ,
418,"Alasalvar C., Grigor J.M., Zhang D., Quantick P.C., Shahidi F.",2001,"Comparison of volatiles, phenolics, sugars, antioxidant vitamins, and sensory quality of different colored carrot varieties",ALASALVAR 2001,Journal of Agricultural and Food Chemistry,49,3,1410-1416,2006-11-07 09:41:34 UTC,2015-04-14 04:25:37 UTC      ,"1. J Agric Food Chem. 2001 Mar;49(3):1410-6. doi: 10.1021/jf000595h.

Comparison of volatiles, phenolics, sugars, antioxidant vitamins, and sensory 
quality of different colored carrot varieties.

Alasalvar C(1), Grigor JM, Zhang D, Quantick PC, Shahidi F.

Author information:
(1)Food Research Center, University of Lincolnshire and Humberside, Brayford 
Pool, Lincoln LN6 7TS, United Kingdom. calasalvar@lincoln.ac.uk

Four different colored carrots, orange, purple with orange core, yellow, and 
white, were examined for their content of phenolics, antioxidant vitamins, and 
sugars as well as their volatiles and sensory responses. A total of 35 volatiles 
were identified in all carrots, 27 positively. White carrot contained the 
highest content of volatiles, followed by orange, purple, and yellow. In total, 
11, 16, 10, and 9 phenolic compounds were determined for the first time in 
orange, purple, yellow, and white carrots, respectively. Of these, chlorogenic 
acid was the most predominant phenolic compound in all carrot varieties. 
Differences (p < 0.05) in relative sweetness, the contents of vitamin C and 
alpha- and beta-carotenes, and certain flavor characteristics were observed 
among the colored carrot varieties examined. Purple carrots contained 2.2 and 
2.3 times more alpha- and beta-carotenes (trace in yellow; not detected in 
white) than orange carrots, respectively. Purple carrot may be used in place of 
other carrot varieties to take advantage of its nutraceutical components.

DOI: 10.1021/jf000595h
PMID: 11312873 [Indexed for MEDLINE]"
1197,"Alasalvar C., Pelvan E.",2010,Effects of Roasting on Taste-Active Compounds of TurkisH Hazelnut Varieties (Corylus avellana L.),ALASALVAR 2010,Journal of Agricultural and Food Chemistry,58,,8674-8679,2015-04-13 21:45:30 UTC,2015-04-14 04:25:37 UTC      ,"1. J Agric Food Chem. 2010 Aug 11;58(15):8674-9. doi: 10.1021/jf101039f.

Effects of roasting on taste-active compounds of Turkish hazelnut varieties ( 
Corylus avellana L.).

Alasalvar C(1), Pelvan E, Amarowicz R.

Author information:
(1)TUBITAK Marmara Research Center, Food Institute, P.O. Box 21, 41470 
Gebze-Kocaeli, Turkey. cesarettin.alasalvar@mam.gov.tr

The effect of roasting on taste-active components of 18 native hazelnut 
varieties, grown in the Giresun province of Turkey, was assessed. Samples were 
examined for their sugars, organic acids, condensed tannins, and free phenolic 
acids. Six sugars (fructose, glucose, sucrose, myo-inositol, raffinose, and 
stachyose), seven organic acids (oxalic, maleic, citric, malic, lactic, 
succinic, and acetic), and one phenolic acid (gallic acid) were positively 
identified in natural and roasted hazelnut varieties; among these, sucrose, 
malic acid, and gallic acid predominated, respectively. Total sugars among 
hazelnut varieties ranged from 1.99 to 4.94 g/100 g, organic acids from 0.96 to 
2.72 g/100 g, condensed tannins from 3.99 to 40.56 mg of catechin equivalents/g, 
and gallic acid from 0.159 to 0.871 mg/100 g. Differences existed in the sugar 
and organic acid contents between natural and roasted hazelnut varieties, but 
they did not follow any particular trend. Significant losses (p < 0.05) in 
condensed tannins ( approximately 97.3%) and gallic acid ( approximately 66.7%) 
were noted when the hazelnuts were roasted. The present work suggests that 
roasting resulted in significant loss in condensed tannins and gallic acid due 
to the removal of the brown skin. The effect of roasting on sugars and organic 
acids was not noteworthy.

DOI: 10.1021/jf101039f
PMID: 20681657 [Indexed for MEDLINE]"
1217,"Alighourchi H., Barzegar M., Abbasi S.",2008,Anthocyanins characterization of 15 Iranian pomegranate (Punica granatum L.) varieties and their variation after cold storage and pasteurization,ALIGHOURCHI 2008,European Food Research and Technology,227,3,881-887,2012-12-01 22:21:08 UTC,2015-04-13 21:45:30 UTC      ,
1218,"Alonso R., Aguirre A., Marzo F.",2000,Effects of extrusion and traditional processing methods on antinutrients and in vitro digestibility of protein and starch in faba and kidney beans,ALONSO 2000,Food Chemistry,68,2,159-165,2012-12-01 22:21:08 UTC,2015-04-13 21:45:30 UTC      ,
309,"Alonso A.M., Castro R., Rodriguez M.C., Guillen D.A., Barroso C.G.",2004,Study of the antioxidant power of brandies and vinegars derived from Sherry wines and correlation with their content in polyphenols,ALONSO 2004,Food Research International,37,7,715-721,2005-06-10 09:36:30 UTC,2015-04-13 21:45:24 UTC      ,
527,"Alonso Garcia A., Cancho Grande B., Simal Gandara J.",2004,Development of a rapid method based on solid-phase extraction and liquid chromatography with ultraviolet absorbance detection for the determination of polyphenols in alcohol-free beers,ALONSO GARCIA 2004_02,Journal of Chromatography A,1054,,175-180,2015-04-13 21:45:26 UTC,2015-04-14 04:25:40 UTC      ,"1. J Chromatogr A. 2004 Oct 29;1054(1-2):175-80. doi:
10.1016/j.chroma.2004.07.092.

Development of a rapid method based on solid-phase extraction and liquid 
chromatography with ultraviolet absorbance detection for the determination of 
polyphenols in alcohol-free beers.

García AA(1), Grande BC, Gándara JS.

Author information:
(1)Nutrition and Bromatology Group, Analytical and Food Chemistry Department, 
Faculty of Food Science and Technology, University of Vigo, Ourense Campus, 
32004 Ourense, Spain.

An analytical method based on solid-phase extraction (SPE) and followed by 
liquid chromatographic separation and ultraviolet detection (HPLC-UV) is 
proposed for the determination of 10 phenolic compounds which participate on 
beer stability and sensory properties in alcohol-free beers. Acetonitrile was 
found to be the most appropriate solvent for the elution of polyphenolic 
compounds adsorbed on C18 cartridges. The performance of the method was assessed 
by the evaluation of parameters such as absolute recovery (generally higher than 
60%), repeatability (lower than 10%), linearity (r2 higher than 0.993) and 
limits of quantitation (ranging from 1 to 37 microg/L); no matrix effects were 
observed. The polyphenol content of different Spanish alcohol-free beers is 
presented. Five phenolic compounds such as protocatechuic, p-coumaric, ferulic, 
caffeic acids, and (+)-catechin were identified at levels lower than 10 mg/L.

DOI: 10.1016/j.chroma.2004.07.092
PMID: 15553142 [Indexed for MEDLINE]"
109,"Alonso-Salces R.M., Korta E., Barranco A., Berrueta L.A., Gallo B., Vicente F.",2001,Determination of polyphenolic profiles of Basque cider apple varieties using accelerated solvent extraction,ALONSO-SALCES 2001,Journal of Agricultural and Food Chemistry,49,8,3761-7,2003-12-05 10:41:49 UTC,2015-04-14 04:25:40 UTC      ,"1. J Agric Food Chem. 2001 Aug;49(8):3761-7. doi: 10.1021/jf010021s.

Determination of polyphenolic profiles of Basque cider apple varieties using 
accelerated solvent extraction.

Alonso-Salces RM(1), Korta E, Barranco A, Berrueta LA, Gallo B, Vicente F.

Author information:
(1)Department of Analytical Chemistry, Faculty of Sciences, Universidad del País 
Vasco/ Euskal Herriko Unibertsitatea, P.O. Box 644, E-48080 Bilbao, Spain.

Polyphenols in the peel and pulp of 15 Basque cider apple varieties were 
determined by accelerated solvent extraction followed by reversed phase 
high-performance liquid chromatography with diode array detection. It was 
observed that the polyphenolic composition in apple peel depended on varieties, 
whereas the main classes of phenolic compounds in apple pulp were flavan-3-ols 
and hydroxycinnamic acids in all cases, representing both together between 86 
and 95% of total polyphenols assayed.

DOI: 10.1021/jf010021s
PMID: 11513662 [Indexed for MEDLINE]"
