pmid,abstract
41203980,"1. Cardiovasc Intervent Radiol. 2025 Nov 7. doi: 10.1007/s00270-025-04258-6.
Online  ahead of print.

Intra-arterial Hepatic (177)Lu-PSMA-Radioligand Therapy in Liver-Dominant 
Metastatic Castration-Resistant Prostate Cancer: A Case Series.

Fakkert RK(1), Braat AJAT(2), de Keizer B(2), Bruijnen RCG(2), Bruijnen CP(3), 
Poot AJ(4), Smits MLJ(2), Lam MGEH(2).

Author information:
(1)Department of Nuclear Medicine and Radiology, University Medical Center 
Utrecht, Heidelberglaan 100, 3584 CX, Utrecht, The Netherlands. 
r.k.fakkert@umcutrecht.nl.
(2)Department of Nuclear Medicine and Radiology, University Medical Center 
Utrecht, Heidelberglaan 100, 3584 CX, Utrecht, The Netherlands.
(3)Department of Medical Oncology, UMC Utrecht, Utrecht, The Netherlands.
(4)Department of Clinical Pharmacy, UMC Utrecht, Utrecht, The Netherlands.

PURPOSE: To evaluate the safety and feasibility of intra-arterial 
177Lu-PSMA-radioligand therapy (RLT) in patients with liver-dominant metastatic 
castration-resistant prostate cancer (mCRPC).
MATERIALS AND METHODS: Patients received up to six cycles of 177Lu-PSMA-RLT 
(median 7.4 GBq) at six-week intervals. Intra-arterial administration in the 
hepatic artery was off-label and indicated for patients with high hepatic tumour 
burden. Primary endpoints were safety (clinical and biochemical adverse events) 
and procedural feasibility. Exploratory efficacy endpoints were 
prostate-specific antigen (PSA) response and imaging (PET) response.
RESULTS: Four patients received 16 cycles (10 intra-arterial, six intravenous). 
All intra-arterial procedures were technically successful and without 
periprocedural complications. Toxicity was acceptable and comparable to 
intravenous treatment, comprising mainly grade 1-2 clinical events with 
occasional grade 3 biochemical abnormalities, and no grade 4-5 clinical 
toxicities were observed. PSA decreases occurred in two patients (decrease 
24-99%), while two patients had increases. Imaging response was more profound 
for liver metastasis.
CONCLUSION: These preliminary findings suggest that intra-arterial 
177Lu-PSMA-RLT is feasible and safe in liver-dominant mCRPC. Prospective studies 
with dosimetry are warranted.

© 2025. Springer Science+Business Media, LLC, part of Springer Nature and the 
Cardiovascular and Interventional Radiological Society of Europe (CIRSE).

DOI: 10.1007/s00270-025-04258-6
PMID: 41203980

Conflict of interest statement: Declarations. Conflicts of interest: AB is a 
consultant for Terumo, Boston Scientific, Telix Pharmaceuticals, and GE 
Healthcare; he receives research support from Boston Scientific, Terumo, Telix 
Pharmaceuticals, Siemens Healthineers, and Ariceum Therapeutics. CB has received 
a speaker honorarium from Novartis, Johnson & Johnson, and Astellas. ML is a 
consultant for Terumo, Boston Scientific, OncoSil, Becton and Dickinson, and 
Novartis; he receives research support from Terumo, Boston Scientific, and 
Novartis. Ethical Approval: All procedures performed in studies involving human 
participants were in accordance with the ethical standards of the institutional 
and/or national research committee and with the 1964 Helsinki declaration and 
its later amendments or comparable ethical standards. For this type of study, 
formal consent is not required. Informed Consent: This study has obtained IRB 
approval from (Medical Ethics Review Committee of the UMC Utrecht in the 
Netherlands (24U-0056)), and the need for informed consent was waived. Consent 
for Publication: For this type of study, consent for publication is not 
required."
41203958,"1. Dig Dis Sci. 2025 Nov 7. doi: 10.1007/s10620-025-09527-5. Online ahead of
print.

The Association Between Physical Activity, Sedentary Time, and Sleep with Risk 
of Hepatocellular Carcinoma in Patients with Cirrhosis.

Ma S(1), Alsabawi Y(2), Kanwal F(3)(4), Duong H(3), Elserag L(5), Singal AG(6), 
Rich NE(6), Khaderi S(3), Asrani SK(7), El-Serag HB(3)(4), Thrift AP(8)(9).

Author information:
(1)School of Medicine, Baylor College of Medicine, Houston, TX, USA.
(2)School of Medicine, University of Texas Rio Grande Valley, Edinburg, TX, USA.
(3)Section of Gastroenterology and Hepatology, Department of Medicine, Baylor 
College of Medicine, Houston, TX, USA.
(4)Veterans Affairs Health Services Research and Development Service Center for 
Innovations in Quality, Effectiveness, and Safety (IQuESt), Michael E. DeBakey 
Veterans Affairs Medical Center, Houston, TX, USA.
(5)University of Texas at Austin, Austin, TX, USA.
(6)Division of Digestive and Liver Diseases, Department of Medicine, UT 
Southwestern Medical Center, Dallas, TX, USA.
(7)Baylor University Medical Center, Dallas, TX, USA.
(8)Section of Epidemiology and Population Sciences, Department of Medicine, 
Baylor College of Medicine, Houston, TX, USA. aaron.thrift@bcm.edu.
(9)Dan L Duncan Comprehensive Cancer Center, Baylor College of Medicine, One 
Baylor Plaza, MS: BCM307, Room 621D, Houston, TX, 77030, USA. 
aaron.thrift@bcm.edu.

BACKGROUND: The majority of hepatocellular carcinoma (HCC) cases arise in 
patients with cirrhosis, with known major risk factors of hepatitis B (HBV) or C 
(HCV) infection, metabolic dysfunction-associated steatotic liver disease 
(MASLD), and alcohol-associated liver disease (ALD). However, the impact of 
additional risk factors that act independently or jointly on the pathogenesis of 
HCC in cirrhosis patients is unknown. The aim of this study was to determine 
whether sleep, sedentariness, or physical activity levels play a role in the 
progression of cirrhosis to HCC.
METHODS: We systematically collected data on sleep, sedentary time, and physical 
activity from the ongoing prospective study, the Texas HCC Consortium Cohort, 
which recruited patients with cirrhosis from December 2016 and followed up until 
HCC development, death, or May 2024. Hazard ratios (HRs) were calculated using 
Fine-Gray competing risk regression models to evaluate the independent 
association between sleep, sedentary, and physical activity levels with the risk 
of HCC overall and in groups stratified by major HCC risk factors.
RESULTS: Of 3940 patients with cirrhosis (mean age = 59.9 years, 39.1% women), 
9.3% of patients had active HCV, 34.6% had MASLD, 41.5% had MetALD, and 3.2% had 
ALD only. In total, 208 patients developed incident HCC (annual incidence rate, 
2.37% [95% CI 2.07, 2.72%]). After adjustment for demographic and clinical 
factors, absent levels of light physical activity (HR = 0.92 [0.57-1.47]), 
excessive sitting time (HR = 0.91 [0.57-1.44]), and reduced sleep duration 
(HR = 0.92 [0.65-1.29]) were not associated with an increased risk of HCC 
development. There were no associations with increased risk of HCC development 
across all sub-groups examined.
CONCLUSIONS: In this study, the risk of HCC in patients with cirrhosis was not 
significantly affected by level of light physical activity, sedentariness, or 
sleep across all major etiologies of cirrhosis.

© 2025. The Author(s).

DOI: 10.1007/s10620-025-09527-5
PMID: 41203958

Conflict of interest statement: Declarations. Conflict of interest: Dr. Singal 
consults for Genentech/Roche, AstraZeneca, Bayer, Eisai, Exelixis, Boston 
Scientific, Exact Sciences, Fujifilm Medical Sciences, Glycotest, DELFI, and 
GRAIL. All other authors declare no conflicts of interest."
41203951,"1. Sci China Life Sci. 2025 Nov 5. doi: 10.1007/s11427-025-3098-4. Online ahead
of  print.

ETV5 upregulates PD-L1 transcription to inhibit cytotoxic CD8(+) T cell 
proliferation in colorectal cancer.

Kuang F(#)(1), Hu Z(#)(2), Huangfu L(3), Yan G(2), Dhiman S(4), Chen W(1), Li 
Z(5).

Author information:
(1)Key laboratory of Carcinogenesis and Translational Research (Ministry of 
Education/Beijing), Gastrointestinal Cancer Center, Peking University Cancer 
Hospital & Institute, Beijing, 100142, China.
(2)Department of Clinical Laboratory, Chongqing General Hospital, Chongqing 
University, Chongqing, 401147, China.
(3)Key Laboratory of Carcinogenesis and Translational Research (Ministry of 
Education/Beijing), Division of Gastrointestinal Cancer Translational Research 
Laboratory, Peking University Cancer Hospital & Institute, Beijing, 100142, 
China.
(4)Institute of Immunology, University of Duisburg-Essen, Essen, D-45147, 
Germany.
(5)Key laboratory of Carcinogenesis and Translational Research (Ministry of 
Education/Beijing), Gastrointestinal Cancer Center, Peking University Cancer 
Hospital & Institute, Beijing, 100142, China. ziyu_li@hsc.pku.edu.cn.
(#)Contributed equally

DOI: 10.1007/s11427-025-3098-4
PMID: 41203951

Conflict of interest statement: Compliance and ethics. The authors declare that 
they have no conflict of interest."
41203950,"1. Sci China Life Sci. 2025 Nov 5. doi: 10.1007/s11427-025-3016-4. Online ahead
of  print.

Development and application of antibody-drug conjugates in gynecological 
cancers.

Zheng R(#)(1)(2), Zhang J(#)(1)(2), Zhou J(1)(2), Zhang Z(1)(2), Niu M(3), Fei 
J(1)(2), Wu K(4), Yi M(5), Li T(6)(7).

Author information:
(1)Department of Gynecology, The Second Affiliated Hospital, Zhejiang University 
School of Medicine, Zhejiang University, Hangzhou, 310052, China.
(2)Zhejiang Provincial Clinical Research Center for Gynecological Diseases, 
Hangzhou, 310000, China.
(3)Department of Breast Surgery, The First Affiliated Hospital, College of 
Medicine, Zhejiang University, Hangzhou, 310000, China.
(4)Cancer Center, Shanxi Bethune Hospital, Shanxi Academy of Medical Science, 
Tongji Shanxi Hospital, Third Hospital of Shanxi Medical University, Taiyuan, 
030032, China. kmwu@tjh.tjmu.edu.cn.
(5)Department of Breast Surgery, The First Affiliated Hospital, College of 
Medicine, Zhejiang University, Hangzhou, 310000, China. 1322068@zju.edu.cn.
(6)Department of Gynecology, The Second Affiliated Hospital, Zhejiang University 
School of Medicine, Zhejiang University, Hangzhou, 310052, China. 
2322056@zju.edu.cn.
(7)Zhejiang Provincial Clinical Research Center for Gynecological Diseases, 
Hangzhou, 310000, China. 2322056@zju.edu.cn.
(#)Contributed equally

Gynecological cancer poses a serious threat to women's health. Despite 
significant advances in immunotherapy and targeted therapeutic strategies for 
gynecological cancers, substantial challenges persist, including limited 
response rates, inevitable resistance, and adverse effects. In recent years, a 
milestone in gynecological cancer therapy has been the approval of antibody-drug 
conjugates (ADCs). In this review, we provide a comprehensive overview of the 
structural features, mechanisms of action, and molecular characteristics of ADCs 
that have been approved and are currently under development. Their clinical 
applications and associated challenges have also been highlighted. Finally, we 
discuss the prospects of ADCs in the treatment of gynecological cancers.

© 2025. Science China Press.

DOI: 10.1007/s11427-025-3016-4
PMID: 41203950

Conflict of interest statement: Compliance and ethics. The authors declare that 
they have no conflict of interest."
41203947,"1. Int J Cancer. 2025 Nov 7. doi: 10.1002/ijc.70240. Online ahead of print.

Exposure to nitrosatable drugs during pregnancy and childhood cancer: A cohort 
study in Taiwan.

Deng C(1), Hu YH(2), Sirirungreung A(1), Chock EY(3), Liew Z(4), Ritz B(1), Lee 
PC(2), Heck JE(1)(5).

Author information:
(1)Department of Epidemiology, Fielding School of Public Health, University of 
California, Los Angeles, Los Angeles, California, USA.
(2)Department of Public Health, College of Medicine, National Cheng Kung 
University, Tainan, Taiwan.
(3)Department of Internal Medicine, Yale School of Medicine, New Haven, 
Connecticut, USA.
(4)Department of Environmental Health Sciences, Yale School of Public Health, 
New Haven, Connecticut, USA.
(5)College of Health and Public Service, University of North Texas, Denton, 
Texas, USA.

Nitrosatable drugs can contribute to the endogenous formation of N-nitroso 
compounds (NOCs) in humans. NOCs are carcinogenic in animal systems. However, 
the relationship between nitrosatable drug exposure in pregnancy and childhood 
cancer risk remains inconclusive. Using the Taiwan Maternal and Child Health 
Database (N = 2,090,806), we conducted a population-based cohort study of 
mother-child pairs with children born 2004-2015, to investigate the link between 
exposure to nitrosatable drugs in pregnancy and childhood cancer risk among 
offspring. Prescriptions of nitrosatable drugs were obtained from the National 
Health Insurance Program, and cancer cases were ascertained through linkage to 
the Cancer Registry. Cox proportional hazards regression models were applied to 
estimate both crude and adjusted hazard ratios (aHR) with 95% confidence 
intervals (CI). Among 3203 cancer cases, nitrosatable drug exposure was 
associated with higher risks of neuroblastoma (aHR = 1.27, 95% CI: 0.95-1.73) 
and hepatoblastoma (aHR = 1.49, 95% CI: 0.97-2.28). Neuroblastoma (aHR = 1.32, 
95% CI: 0.96-1.82) and osteosarcoma (aHR = 2.05, 95% CI: 1.07-3.89) were most 
strongly associated with amides, while the risk of hepatoblastoma was highest 
among offspring of tertiary amine users (aHR = 1.57, 95% CI: 1.00-2.46), 
compared to other functional groups. Some results may need to be interpreted 
with caution due to the wide confidence intervals. Our findings highlight the 
need for future research into the biological mechanisms between NOCs and 
childhood cancer.

© 2025 UICC.

DOI: 10.1002/ijc.70240
PMID: 41203947"
41203944,"1. Immunol Res. 2025 Nov 7;73(1):158. doi: 10.1007/s12026-025-09686-7.

STAT6 inhibition stabilizes induced regulatory T cells and enhances their 
therapeutic potential in inflammatory bowel disease.

Arroyo-Olarte RD(1)(2), Pérez-Noriega FA(1), Correa-Pérez MF(1), Mejía-Muñoz 
A(1), Terrazas LI(1)(3), Leon-Cabrera S(4)(5).

Author information:
(1)Unidad de Biomedicina. Facultad de Estudios Superiores-Iztacala, Universidad 
Nacional Autónoma de México, Av. De los Barrios 1, Los Reyes Iztacala, 
Tlalnepantla, Edo. De México, 54090, Mexico.
(2)Carrera de Médico Cirujano, Facultad de Estudios Superiores Iztacala, 
Universidad Nacional Autónoma de México, Av. De los Barrios 1, Los Reyes 
Iztacala, Tlalnepantla, Edo. De México, 54090, Mexico.
(3)Laboratorio Nacional en Salud, Facultad de Estudios Superiores-Iztacala, 
Universidad Nacional Autónoma de México, Tlalnepantla, Edo. De México, Mexico.
(4)Unidad de Biomedicina. Facultad de Estudios Superiores-Iztacala, Universidad 
Nacional Autónoma de México, Av. De los Barrios 1, Los Reyes Iztacala, 
Tlalnepantla, Edo. De México, 54090, Mexico. soleonca@comunidad.unam.mx.
(5)Carrera de Médico Cirujano, Facultad de Estudios Superiores Iztacala, 
Universidad Nacional Autónoma de México, Av. De los Barrios 1, Los Reyes 
Iztacala, Tlalnepantla, Edo. De México, 54090, Mexico. 
soleonca@comunidad.unam.mx.

The development and stability of induced regulatory T cells (iTregs) are 
essential for their immunosuppressive function and therapeutic potential in 
inflammatory diseases. Although Treg-based immunotherapy offers promise for 
restoring immune tolerance, clinical application is limited by the instability 
and reduced potency of iTregs. STAT6 signaling has been implicated in 
destabilizing Foxp3 expression, a key marker of Treg identity. Here, we 
investigated the impact of pharmacological STAT6 inhibition on iTreg 
differentiation, stability, and function both in vitro and in vivo. Naïve CD4⁺ T 
cells were differentiated into iTregs under standard conditions or expanded with 
IL-2 in the presence of the STAT6 inhibitor AS1517499 (AS-iTregs). STAT6 
inhibition enhanced iTreg stability, maintaining high expression of Foxp3, CD25, 
PD-1, and CTLA-4 for up to 10 days, even in inflammatory conditions. AS-iTregs 
also showed increased mRNA levels of Foxp3, IL-10, TGF-β, and PD-1, and reduced 
IL-6, IL-1β, and DNMT1 expression-suggesting improved functional and epigenetic 
stability. In the DSS colitis model, adoptive transfer of AS-iTregs alleviated 
disease severity, preserved mucosal architecture, and increased goblet cell 
numbers. Histopathological analysis showed reduced epithelial damage and 
inflammation compared to controls. Importantly, AS-iTregs did not promote tumor 
growth in a colitis-associated cancer model. Furthermore, in vivo administration 
of AS1517499 during acute colitis enhanced Treg expansion, activation, and 
suppressive function. These findings establish STAT6 inhibition as a promising 
approach to boost iTreg stability and efficacy, advancing the potential of 
Treg-based therapies for inflammatory disorders.

© 2025. The Author(s).

DOI: 10.1007/s12026-025-09686-7
PMID: 41203944 [Indexed for MEDLINE]

Conflict of interest statement: Declarations. Clinical trial number: Not 
applicable. Full uncropped gels and blots image(s): Not applicable. Competing 
interests: The authors declare no competing interests."
41203941,"1. Funct Integr Genomics. 2025 Nov 8;25(1):233. doi: 10.1007/s10142-025-01729-4.

Integrative single-cell and bulk RNA-seq analysis identifies 
glycosyltransferases-related signature in triple negative breast cancer.

Hu J(#)(1), Yuan N(#)(2), Huang Z(2), Liu Y(3), Tu B(4), Yu X(1), Hui T(5), Zuo 
G(6).

Author information:
(1)Department of Clinical Medicine, International Medical College, Chongqing 
Medical University, Chongqing, 400016, China.
(2)Key Laboratory of Clinical Laboratory Diagnostics (Chinese Ministry of 
Education), College of Laboratory Medicine, Chongqing Medical University, 
Chongqing, 400016, China.
(3)College of Traditional Chinese Medicine, Chongqing Medical University, 
Chongqing, 400016, China.
(4)Department of Clinical Medicine, First Clinical College, Chongqing Medical 
University, Chongqing, 400016, China.
(5)Breast Center, The Fourth Hospital of Hebei Medical University, Shijiazhuang, 
050010, Hebei, China. huitianli_doc@163.com.
(6)Key Laboratory of Clinical Laboratory Diagnostics (Chinese Ministry of 
Education), College of Laboratory Medicine, Chongqing Medical University, 
Chongqing, 400016, China. zuoguowei@cqmu.edu.cn.
(#)Contributed equally

Triple-negative breast cancer (TNBC) represents a formidable subtype with a grim 
prognosis. This study aims to pinpoint the molecular targets of 
Glycosyltransferases (GTs) in TNBC, with the goal of improving prognostic 
accuracy and boosting the effectiveness of immune therapies. Using publicly 
available datasets, we combined differentially expressed and correlated genes 
based on AUCell scores from single-cell sequencing. These were then subjected to 
enrichment analysis and utilized for constructing a risk model. A total of 780 
genes were identified as being closely associated with GTs. Using 101 algorithm 
combinations, a 17-gene signature emerged with predictive capabilities for TNBC 
patient prognosis. At the same time, we examined the role of these model genes 
in the tumor microenvironment(TME). We identified key transcription factors 
correlating with GTs, including CREB3L1, which showed significant association 
with the CERCAM gene. Subsequently, the pro-cancerous effects of GTs were 
validated through a series of experiments, including CCK-8 cell viability 
assays, scratch wound healing assays, and Transwell migration and invasion 
assays. This research lays the foundation for targeted drug therapies, offering 
new opportunities to enhance clinical outcomes in TNBC.

© 2025. The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, 
part of Springer Nature.

DOI: 10.1007/s10142-025-01729-4
PMID: 41203941 [Indexed for MEDLINE]

Conflict of interest statement: Declarations. Ethics approval and consent to 
participate: Not applicable. This study did not involve human or animal data. 
Consent for publication: Not applicable. No individual personal data or images 
were included in this manuscript. Clinical trial number: Not applicable. 
Conflict of interests: The authors declare no competing interests."
41203923,"1. Commun Chem. 2025 Nov 7;8(1):340. doi: 10.1038/s42004-025-01717-6.

Machine learning-driven prediction of substrates for enzymes introducing or 
removing protein post-translational modifications.

Ridgeway NH(1), Chopra A(1), Lukinović V(1), Feldman M(2), Charih F(1)(3), Levy 
D(2), Green JR(3), Biggar KK(4).

Author information:
(1)Institute of Biochemistry, Carleton University, Ottawa, ON, K1S 5B6, Canada.
(2)The Shraga Segal Department of Microbiology, Immunology and Genetics, Faculty 
of Health Sciences, Ben-Gurion University of the Negev, Be'er-Sheva, 84105, 
Israel.
(3)Department of Systems and Computer Engineering, Carleton University, Ottawa, 
ON, K1S 5B6, Canada.
(4)Institute of Biochemistry, Carleton University, Ottawa, ON, K1S 5B6, Canada. 
Kyle_biggar@carleton.ca.

The exploration of post-translational modifications (PTMs) within the proteome 
is pivotal for advancing our understanding of disease and the function of cancer 
therapeutics. However, identifying genuine sites of PTMs introduced or removed 
by an enzyme of interest amid numerous candidates is challenging. We present a 
machine learning (ML)-driven search method, which combines ML with 
enzyme-mediated modification of complex peptide arrays to predict unexplored PTM 
sites for an enzyme of interest. Experimental validation confirmed that this 
approach correctly predicted 37-43% of proposed PTM sites, unveiling candidate 
sites of the methyltransferase SET8 and the deacetylases SIRT1-7. Our approach 
marks an important performance increase over traditional in vitro methods across 
separate enzyme classes. Mass spectrometry analysis confirmed the dynamic 
methylation status of several predicted SET8 substrates, and the deacetylation 
of 64 unique sites identified for SIRT2. This method has also revealed changes 
in SET8-regulated substrate network among breast cancer missense mutations, 
collectively revealing insight into differential enzyme function in disease. By 
disentangling the substrate features that dictate PTM-inducing enzyme 
specificity, this approach demonstrates potential in uncovering enzyme-substrate 
networks within PTM pathways.

© 2025. The Author(s).

DOI: 10.1038/s42004-025-01717-6
PMID: 41203923

Conflict of interest statement: Competing interests: The authors declare no 
competing interests."
41203914,"1. J Gastrointest Cancer. 2025 Nov 7;56(1):217. doi: 10.1007/s12029-025-01333-6.

Gastric Cancer with Peritoneal Metastases: Why Patient-Reported Outcomes Matter 
in Clinical Trials.

Burke E(1).

Author information:
(1)The Royal College of Surgeons in Ireland, Dublin, Ireland. 
eoghanburke@rcsi.ie.

Gastric cancer with peritoneal involvement is becoming increasingly common, 
particularly among younger patients with diffuse-type disease. This aggressive 
subtype carries a high symptom burden and severely impacts quality of life 
(QoL). Novel therapeutic strategies targeting peritoneal metastases, including 
normothermic intraperitoneal and systemic chemotherapy (NIPS), pressurised 
intraperitoneal aerosol chemotherapy (PIPAC), and cytoreductive surgery with 
HIPEC, are reshaping the treatment landscape. Among these, only NIPS has 
demonstrated a clear overall survival benefit, as shown in the phase III 
DRAGON-01 trial. PIPAC and CRS with HIPEC hold promise and are currently being 
investigated in randomised studies. However, patient-reported outcomes (PROs) 
remain inconsistently captured. For example, neither DRAGON-01 nor PHOENIX-GC 
reported QoL data despite their clinical impact. By contrast, PERISCOPE II and 
PIPAC VER-ONE have incorporated PRO measures, including EORTC QLQ-C30 and 
QLQSTO22, which are expected to provide more patient-centred insights. These 
instruments, while valuable, may not fully capture peritoneal-specific symptoms, 
highlighting the need for tailored tools. Routine integration and standardised 
reporting of PROs are critical to ensure that survival gains are accompanied by 
meaningful improvements in patient experience. As therapeutic strategies evolve, 
embedding PROs in trial design is essential for delivering value-based, 
patient-centred care in gastric cancer with peritoneal metastases. [KD1]LE: 
Structured abstract is required in this type of journal. Please consider 
providing the aforesaid.

© 2025. The Author(s), under exclusive licence to Springer Science+Business 
Media, LLC, part of Springer Nature.

DOI: 10.1007/s12029-025-01333-6
PMID: 41203914 [Indexed for MEDLINE]

Conflict of interest statement: Declarations. Ethics Approval: Ethical approval 
was not required for this study. Competing interests: The authors declare no 
competing interests."
41203913,"1. Commun Med (Lond). 2025 Nov 7;5(1):460. doi: 10.1038/s43856-025-01142-9.

In-hospital mortality prognostication for cancer patients with febrile 
neutropenia.

Tahir A(1), Hassan M(2), Farooq A(2), Ashfaq S(3), Ayub M(3), Hameed I(3), 
Sheikh AZ(4), Ahad A(5), Azad J(5), Ahmed U(6), Aleem A(7), Masood A(7), Asghar 
K(8), Khan AW(9), Chaudhary SU(10).

Author information:
(1)Biomedical Informatics & Engineering Research Laboratory (BIRL), Syed Babar 
Ali School of Science and Engineering (SBASSE), Lahore University of Management 
Sciences (LUMS), Lahore, Pakistan.
(2)Department of Basic Sciences Research, Shaukat Khanum Memorial Cancer 
Hospital and Research Centre, Lahore, Punjab, Pakistan.
(3)Department of Internal Medicine, Shaukat Khanum Memorial Cancer Hospital and 
Research Centre, Lahore, Punjab, Pakistan.
(4)Department of Radiology, Shaukat Khanum Memorial Cancer Hospital and Research 
Centre, Lahore, Punjab, Pakistan.
(5)Department of Surgical Oncology, Shaukat Khanum Memorial Cancer Hospital and 
Research Centre, Lahore, Punjab, Pakistan.
(6)Department of Medical Oncology, Shaukat Khanum Memorial Cancer Hospital and 
Research Centre, Lahore, Punjab, Pakistan.
(7)Department of Anesthesiology, Shaukat Khanum Memorial Cancer Hospital and 
Research Centre, Lahore, Punjab, Pakistan.
(8)Department of Basic Sciences Research, Shaukat Khanum Memorial Cancer 
Hospital and Research Centre, Lahore, Punjab, Pakistan. 
drkashifasghar@gmail.com.
(9)Department of Anesthesiology, Shaukat Khanum Memorial Cancer Hospital and 
Research Centre, Lahore, Punjab, Pakistan. ahsunwaqar@skm.org.pk.
(10)Biomedical Informatics & Engineering Research Laboratory (BIRL), Syed Babar 
Ali School of Science and Engineering (SBASSE), Lahore University of Management 
Sciences (LUMS), Lahore, Pakistan. safee.ullah.chaudhary@gmail.com.

BACKGROUND: Febrile neutropenia (FN) in cancer patients undergoing chemotherapy 
can result in life-threatening outcomes. Hence, an evaluation of associated risk 
factors can enable clinical surveillance as well as inform prophylactic 
measures. In this retrospective cohort study, we report a mortality 
prognostication model for chemotherapy-treated cancer patients upon a 
neutropenic episode.
METHODS: Clinical and diagnostic data of 137 febrile neutropenia patients (>18 
years) was collected from a cancer hospital, with the primary endpoint of 
post-hospital admission mortality within 30 days. The data was integratively 
analyzed and machine learning techniques were applied to develop the predictive 
model which was then internally cross validated. Towards enabling personalized 
risk assessment, a nomogram was constructed and validated.
RESULTS: Chemotherapy-treated cancer patients undergoing a neutropenic episode 
exhibit an overall mortality rate of 17.36%. Multivariate logistic analysis 
elucidates that shock, pneumonia, carboplatin, doxorubicin, antifungal and 
anti-viral prophylaxis, and hemoglobin correctly classify cases with an overall 
accuracy of 92% and discriminate mortality with a specificity of 76%. Antiviral 
(odds ratio (OR): 0.669, p  =  0.689) and antifungal prophylaxis (OR: 0.619, 
p  =  0.5) demonstrate a protective effect. The receiver operating 
characteristic (ROC) curve of the nomogram exhibits an area under the curve of 
0.878 (95% CI 0.778 - 0.977), Hosmer-Lemeshow test p-value = 0.635, and a high 
net benefit in the clinical decision curve.
CONCLUSIONS: The proposed model offers insights into the role of clinical 
predictors as well as treatment characteristics that can ameliorate mortality 
risk in cancer patients with FN. The study highlights bacteremia-related 
surveillance, along with thrombocytopenia, linked to carboplatin, for reducing 
individualized mortality risk along with improved monitoring and informed 
treatment strategies.

Plain Language Summary: Febrile neutropenia (FN) is a life-threatening 
complication in cancer patients undergoing chemotherapy. Clinical symptoms 
include fever and very low white blood cell counts, making it harder for the 
body to fight infections. For early detection of high-risk patients, we 
investigated the past medical records of FN and report that factors such as 
severe infections (like pneumonia), shock, and chemotherapeutic agents (such as 
carboplatin and doxorubicin) increase the risk of death. On the other hand, 
antifungal and antiviral treatments act to reduce the risk of adverse outcomes. 
The proposed tool can help doctors identify high-risk patients faster and choose 
suitable treatments to improve survival.

© 2025. The Author(s).

DOI: 10.1038/s43856-025-01142-9
PMID: 41203913

Conflict of interest statement: Competing interests: The authors declare no 
competing interests."
41203904,"1. Eye (Lond). 2025 Nov 7. doi: 10.1038/s41433-025-04084-7. Online ahead of
print.

Endogenous endophthalmitis: a nine-year retrospective study of 33 patients.

Ali H(1)(2), Altuwaym O(1)(2), Maurin M(3)(4), Gallice M(1), Pavese P(5), 
Epaulard O(5), Chiquet C(6)(7)(8).

Author information:
(1)Department of Ophthalmology, University Hospital of Grenoble-Alpes, Grenoble, 
France.
(2)Grenoble-Alpes University, Grenoble, France.
(3)Laboratoire de Bactériologie, Institut de Biologie et Pathologie, CHU 
Grenoble Alpes, Grenoble, France.
(4)CHU Grenoble Alpes, TIMC-IMAG, Grenoble, France.
(5)Department of Infectious Diseases, University Hospital of Grenoble-Alpes, 
Grenoble, France.
(6)Department of Ophthalmology, University Hospital of Grenoble-Alpes, Grenoble, 
France. cchiquet@chu-grenoble.fr.
(7)Grenoble-Alpes University, Grenoble, France. cchiquet@chu-grenoble.fr.
(8)HP2 Laboratory, INSERM U1300, University Grenoble Alpes, Grenoble, France. 
cchiquet@chu-grenoble.fr.

PURPOSE: Epidemiological and microbiological characteristics of endogenous 
endophthalmitis (EE) can vary by population and geographical area, with 
different risk factors. This study from a tertiary care centre aimed to provide 
additional data from one European country in the field of EE.
METHODS: This retrospective study was conducted on patients diagnosed with EE at 
the University Hospital of Grenoble-Alpes, France, between 2014 and 2023. 
General and ocular clinical data, along with microbiological findings, were 
collected at baseline and on follow-up.
RESULTS: Thirty-three patients were diagnosed with EE in this study with a mean 
age of 70 ± 17.7 years, and 51.5% were male. Most cases were unilateral. Common 
health conditions included cancer, and diabetes mellitus, with endocarditis 
being the leading source of infection. Baseline visual acuity ranged from 20/20 
to no light perception. Blood cultures were positive in 87.8% of the cases. 
Gram-positive bacteria, especially Staphylococcus aureus, were the most common 
pathogens, followed by Candida albicans. Pars plana vitrectomy was performed in 
33% of the patients. At the end of the follow-up, four patients had lost vision, 
two developed phthisis, and mortality was reported in 24% of the patients.
CONCLUSION: This study on endogenous endophthalmitis highlights that, in Europe, 
the primary risk factors are cancer and diabetes, with endocarditis being the 
most common source of infection. According to our findings, Gram-positive 
bacteria, particularly Streptococcus species and Staphylococcus aureus, are the 
most frequently identified pathogens in Europe. These findings differ 
significantly from reports originating from the USA and Asia.

© 2025. The Author(s), under exclusive licence to The Royal College of 
Ophthalmologists.

DOI: 10.1038/s41433-025-04084-7
PMID: 41203904

Conflict of interest statement: Competing interests: The authors declare no 
competing interests."
